CMDID,PARENTID,CMDTYPE,CAPTION,CMDNAME,CMDVALUE,ICON,CMDLVL,ISVISIBLE,ISENABLE,ACTION,CMDIDX,STATUS,HKCMD,URI,UCTID
012005008,012005,M,Common account mapping,,"{""en"":""Common account mapping"",""vi"":""G?n t?i kho?n chi ti?t d?ng chung""}",Child.png,3,0,1,,6,N,,,ACT_ACCOUNTING_COMMON_EXTRA
0150010020010,015001002,C,Clear,,,,4,1,1,,10,N,,,
0150010020000,015001002,C,Search,,,,4,1,1,,0,N,,,
0150010020001,015001002,C,Add,,,,4,1,1,,1,N,,,
0150010020003,015001002,C,Modify,,,,4,1,1,,3,N,,,
0150010020005,015001002,C,Save,,,,4,1,1,,5,N,,,
0150010020004,015001002,C,Delete,,,,4,1,1,,4,N,,,
0150030060002,015003006,C,View,,,,4,1,1,,2,N,,,
0150030060010,015003006,C,Clear,,,,4,1,1,,10,N,,,
0150030060000,015003006,C,Search,,,,4,1,1,,0,N,,,
0150030060001,015003006,C,Add,,,,4,1,1,,1,N,,,
0150030060003,015003006,C,Modify,,,,4,1,1,,3,N,,,
0150030060005,015003006,C,Save,,,,4,1,1,,5,N,,,
0150030060004,015003006,C,Delete,,,,4,1,1,,4,N,,,
0150010060035,015001006,C,Process,,,,4,0,1,,35,N,,,
0150010060004,015001006,C,Delete,,,,4,1,1,,4,N,,,
0150030040034,015003004,C,Logout,,,,4,1,1,,34,N,,,
0150030040002,015003004,C,View,,,,4,1,1,,2,N,,,
017003088,017003,R,CRP0088,,"{""en"":""CRP0088"",""vi"":""CRP0088""}",Child.png,3,0,1,,2,N,,,
017003089,017003,R,CRP0089,,"{""en"":""CRP0089"",""vi"":""CRP0089""}",Child.png,3,0,1,,2,N,,,
017003090,017003,R,CRP0090,,"{""en"":""CRP0090"",""vi"":""CRP0090""}",Child.png,3,0,1,,2,N,,,
017003091,017003,R,CRP0091,,"{""en"":""CRP0091"",""vi"":""CRP0091""}",Child.png,3,0,1,,2,N,,,
